,Topic,Platform,Name,Description,link,Unnamed: 5
27,Путешествия,YT,ЧЕРНОГОРИЯ 2020 ЛУЧШИЙ ПЛЯЖ МОГРЕН. БУДВА. MOGREN BEACH. MONTENEGRO. BUDVA. ОТДЫХ В ЧЕРНОГОРИИ 2020.,"Черногория 2020. Лучший Пляж Могрен. Будва. Mogren Beach. Montenegro. Budva. Отдых в Черногории 2020.
Сайт с Путевками: https://sunnybeach.com.ua/
Инстаграм Sunny Beach: https://instagram.com/sunnybeach.com.ua
Мой INSTAGRAM: https://www.instagram.com/alexygurtovoy/
Мой Telegram канал: https://t.me/alexygurtovoy
Инстаграм Русланы: https://www.instagram.com/ruslanakuch...
Канал Русланы: https://www.youtube.com/channel/UCJ7z...
EMAIL: alexygurtovoy@gmail.com
VK: https://vk.com/alexygurtovoy",https://www.youtube.com/watch?v=DMxI0skz19Q,
28,Путешествия,YT,Курорт Бечичи в Черногории,"Видео посвящено шикарному курорту Черногории, поселку Бечичи. Поверьте, это достойный выбор для отдыха в Черногории.

Полезные ссылки:
1. Лучший сайт рунета о жизни в Черногории: http://evropaedu.ru

2. Сколько стоит недвижимость в Черногории: http://realty.evropaedu.ru

3. Наш замечательный форум об иммиграции в Черногорию: http://forum.evropaedu.ru/viewforum.p...

4. Иммиграция в Черногорию в фейсбуке: https://www.facebook.com/groups/immig...

Как со мной связаться для консультации по иммиграции в Черногорию? Все мои контакты здесь http://evropaedu.ru/kontakti-evropaedu/ Пишите, звоните.

#бечичи #бечичивчерногории #черногория #отдыхвчерногории",https://www.youtube.com/watch?v=TC1n4pkHIGg,
29,Путешествия,YT,"БУДВА (Черногория 2021): отдых, пляжи, цены, еда, экскурсии.","Будва - курорт в Черногории, в 2021 году здесь отличный отдых на пляже и интересные экскурсии. Расскажем, что посмотреть в Будве (покажем главные достопримечательности), какие лучшие пляжи Будвы и как туда добраться. 

Вы узнаете, где лучше жить (и как недорого забронировать виллу или отель). Также расскажем про уличную еду в Черногории и про то, где лучше поесть в Будве. 

Если планируете отдых в Черногории первый раз обязательно рекомендуем посетить Будву и оттуда уже ездить по стране. 

Если нужна помощь с подбором туров в Черногорию из Одессы, Киева и других городов Украины - обращайтесь! +38(093)006-17-17 (Viber, Telegram).

Выбрать тур в Черногорию и оставить заявку можно на сайте: http://www.ally.com.ua/tours/montenegro/

Инстаграм Оксаны: https://www.instagram.com/oksana_mlyn...

Быстрая навигация по видео:
00:00 - приветствие
00:25 - сведения о курорте
01:07 - когда сезон в Черногории
01:22 - варианты размещения
03:36 - лучшие пляжи в Будве
05:37 - главные достопримечательности
06:34 - еда и продукты
09:33 - интернет и мобильная связь
09:58 - чем заняться вечером
11:02 - экскурсии и цены
11:35 - транспорт на курорте
12:29 - шопинг и сувениры
12:47 - самый важный совет
12:58 - прощание

Советы о том, как выбрать хорошую виллу в Черногории: https://youtu.be/FlvQDPTR7Ys",https://www.youtube.com/watch?v=mhzgZyWHi4c,
30,Путешествия,YT,ЧЕРНОГОРИЯ 2021: без визы и ПЦР тестов. Обзор пустых пляжей,"Это наша первая поездка в Черногорию. Мы решили ехать сразу на 3 месяца, чтобы увидеть все красоты страны.
👉 Задайте свой вопрос о жизни в Черногории - https://forms.gle/qW22NYUYpfEuFnQ2A

Первое, что впечатлило на пляже Черногории, это отсутствие людей. Второе - прозрачная водичка. Третье - теплый летний ветерок.

👉 Все обо мне и моем творчестве - https://bit.ly/3ds3lTj
👉 Используете телеграм? Присоединяйтесь - https://t.me/airudenko

➤➤ТАЙМИНГ
01:00 - Вылет в Черногорию
02:00 Бечичи, Черногория. Аренда квартиры
03:16 Пляж Бечичи
04:46 Первое утро в Черногории
06:35 Пустые пляжи Черногории
07:09 Спортивные площадки в Бечичи
09:25 Цена на еду в Черногории (Бечичи)
10:42 Пляж Рафаиловичи (Plaža Rafailovići)
11:58 Пляж Каменово (Plaža Kamenovo Budva)
13:37 Коты в Черногории
15:21 Пляж Пржно (Pržno Plaža)

👉 Не знаете чего хотите? В поисках дела жизни? Скачайте инструкцию ""Как найти свое призвание"" - https://bit.ly/2L9pIQD

👉 Кто такой Андрей Руденко?
http://andreyrudenko.com/obo-mne

📕 Книги Андрея Руденко
https://andreyrudenko.com/shop

✅ Официальные страницы:
Сайт - https://andreyrudenko.com
Инстаграм - https://www.instagram.com/airudenko
Фейсбук - https://www.fb.com/airudenko
Телеграм - https://t.me/airudenko",https://www.youtube.com/watch?v=Jj46VcW4V_k,
31,Путешествия,YT,ЧЕРНОГОРИЯ 2021: обзор самых красивых пляжей и заброшенная деревня Подбабац,"В прошлом видео мы показали наш перелет из Киева в Черногорию без визы и ПЦР тестов, заселение в аппартаменты с изумительным видом на море и сделали обзор популярных и пустых пляжей Черногории с бирюзовой водичкой. В этом видео мы покажем ТОП 3 красивых пляжа Черногории, по нашему мнению, и заброшенную деревню Подбабац. Заваривайте чаек и наслаждайтесь!

👉 Задайте свой вопрос о жизни в Черногории - https://forms.gle/qW22NYUYpfEuFnQ2A
👉 Все обо мне и моем творчестве - https://bit.ly/3ds3lTj
👉 Используете телеграм? Вступайте в группу - https://t.me/airudenko
👉 Красивенные фотографии в Инстаграм - https://instagram.com/airudenko

➤➤ТАЙМИНГ
00:48 Пляж Королевы Черногория (Kraljičina plaža). Краљичина плажа
01:50 Пляж Короля (Черногория). Пляж Милочер (Plaža Milocer)
03:40 Пляж Святой Стефан в Черногории (Sveti Stefan Plaža)
04:20 Заброшенная деревня Подбабац (Podbabac)
10:37 Анонс: Петровац, Perazica do, пляж Булярица

👉 Не знаете чего хотите? В поисках дела жизни? Скачайте инструкцию ""Как найти свое призвание"" - https://bit.ly/2L9pIQD

👉 Кто такой Андрей Руденко?
http://andreyrudenko.com/obo-mne

📕 Книги Андрея Руденко
https://andreyrudenko.com/shop

✅ Официальные страницы:
Сайт - https://andreyrudenko.com
Инстаграм - https://www.instagram.com/airudenko
Фейсбук - https://www.facebook.com/andreyrudenk...
Телеграм - https://t.me/airudenko
Вконтакте - https://vk.com/andreyrudenkocom",https://www.youtube.com/watch?v=uF1I8n71_QI,
32,Путешествия,YT,"Кипр. Все, что нужно увидеть на острове в одном выпуске.","Подписываемся на канал. 

#Кипр #НиссиБич #МакронисосБич #Ларнака #Айя Напа #МостВлюбленных #КавоГреко

Кипр открыли, как туда попасть? Что посмотреть и какие пляжи выбрать. Подготовили для вас выпуск с красотами
Кипра и полезной информацией.",https://www.youtube.com/watch?v=0AlyFxFKmYc,
33,Путешествия,YT,Кипр. Путешествие по острову.,"Бронь жилья AirBnb со скидкой $46 – https://www.airbnb.ru/c/tetianan87?cu...

Музыку беру здесь – http://share.epidemicsound.com/wnscz
Максимально советую использовать музыку с этого сайта, тогда у вас не будет проблем с авторскими правами.

Мой Instagram - https://www.instagram.com/sembler8/
Instagram Тани - https://www.instagram.com/nemtinova_t...

В этом видео наши приключения в новом путешествии на Кипр. Мы сняли виллу, арендовали авто и исследовали остров в поисках лучшего пляжа и красивых мест

Навигация по видео:

0:22 - аренда авто и левостороннее движение
01:01 - стоимость аренды авто на Кипре
01:43 - где отдыхать на Кипре
01:53 - во сколько нам обошлась вилла на неделю
02:15 - пляж Фиг Три Бэй в Протарасе
02:54 - про квадроциклы
03:22 - пляж Нисси
03:52 - пляж Тринити
04:03 - про виллы на Кипре
04:17 - пляж Коннос
05:11 - пляж и порт Лиманаки
06:13 - ресторан Оушен Баскет
06:33 - про дороги на Кипре
06:41 - порт Лимассола
07:10 - горы Кипра
08:29 - мыс Каво Греко
09:35 - Мост Влюбленных (Love Bridge)
10:21 - едем на Северный Кипр
10:48 - переезжаем границу
11:04 - страховка на машину на турецкой части Кипра
11:20 - город призрак Вароша и пляж рядом
11:58 - апельсины и котики
12:28 - свадьба
12:51 - Левкара
14:02 - Белые Камни, Лимассол
14:59 - пляж Маккензи в Ларнаке",https://www.youtube.com/watch?v=QDa2DBlhyxY,
34,Путешествия,YT,"КИПР 2021 - границы открыты! Как добраться, виза, цены, где остановиться","Сегодня двое с чемоданом отправляются в новое путешествие - мы на Кипре!

Мы обсудим:

- Как попасть на Кипр в 2021
- Какие документы нужны
- Как сдать тест на Кипре и сколько это стоит
- Какие ограничения действуют на Кипре в 2021.

А еще мы покажем вам нашу классную квартиру в Ларнаке - вдруг вы тоже захотите здесь остановиться? 

Первые впечатления просто замечательная - днем около 30 градусов, вечером - приятная прохлада, туристов не слишком много, весь народ очень доброжелательный.

Бывали вы на Кипре? Готовы полететь сюда весной?

Погнали с полезными ссылками:

Регистрация на сдачу теста в аэропорту Москвы https://labarhimed.ru/
Cyprus Flight Pass https://cyprusflightpass.gov.cy/en/re...
Провиза https://www.provisa.mfa.gov.cy/russia
Наша квартира в Ларнаке http://www.booking.com/Share-5b2hZf

Надеюсь, вы хорошо провели с нами время.

Будем очень благодарны за ❤ и подписку.

Ваши,

Двое с чемоданом

P.S. МЫ в:

• Instagram https://www.instagram.com/anna_skif/
• Tik Tok https://www.tiktok.com/@anna_skif
• Письменный блог http://2chem.ru/

Музыка из выпуска: https://www.epidemicsound.com/campaig...

Забронировать жилье со скидкой до 4000 рублей на Airbnb можно по ссылке: https://www.airbnb.ru/c/1c94662",https://www.youtube.com/watch?v=f0y1sRxmSwg,
35,Путешествия,YT,Ларнака КИПР — Прежде чем ехать посмотри это! Обзор пляжа! | Кипр,"Отдых на Кипре в Ларнаке. 
Все что вам нужно знать о Ларнаке — обзор пляжей, достопримечательностей, транспорта, погоды, еда и цены.
Ларнака за один день — это возможно? Все это и еще больше подробностей в этом видео.

#кипр #ларнака #cyprus #larnaca

КИПР / Топ 5 Лучших Пляжей (Протарас и Айя Напа) 
https://youtu.be/U8tbB1ThSGU

КИПР / Лимассол Влог 
https://youtu.be/DKiJzhyWgcY

КИПР / Никосия Влог 
https://youtu.be/GjVxwldfYw4

КИПР / Плюсы и минусы жизни на Кипре
https://youtu.be/jHoHd_Ch8U0


НИДЕРЛАНДЫ / Амстердам без туристов 
https://youtu.be/SsWMwO8e92s

НИДЕРЛАНДЫ / Амстердам хипстерские районы 
https://youtu.be/x6ruKQqIqGw


ЯПОНИЯ / Токио без туристов 
https://youtu.be/hvG144tHbEQ

ЯПОНИЯ / Районы Синдзюку, Аояма и Харадзюку 
https://youtu.be/0HL7EYNcjHU

ЯПОНИЯ / Новогодняя атмосфера в Токио 
https://youtu.be/xC09F2JHl2M

ЯПОНИЯ / Японский супермаркет
https://youtu.be/v-mj99plZOM

ЯПОНИЯ / Кошачье Кафе в Токио 
https://youtu.be/kQ-1ILrKDuw

ЯПОНИЯ / Лисья деревня в Японии 
https://youtu.be/etQJ5_3TcW8

__________

Подписывайтесь на мой канал, если вам понравилось это видео :) 

ГДЕ ЕЩЕ МЕНЯ МОЖНО НАЙТИ?

Инстаграм: https://www.instagram.com/violetvik/
TikTok: https://www.tiktok.com/@violetvik?lan...",https://www.youtube.com/watch?v=KtxVm966glc,
36,Путешествия,YT,"Куда лучше поехать отдыхать на Кипр в 2021 году: лучшие пляжи Ларнака, Айя-Напа, Лимассол, Пафос","7 (985) 123-55-59 Тамара ( пишите в Whats App или Telegram )
- оформление электронной визы на Кипр ( только для граждан России ) от 990 рублей.

https://youtu.be/6SPdxEi7JuE - правила въезда на Кипр для россиян

Куда лучше ехать отдыхать на Кипр взрослым и парам с детьми. Лучшие пляжи Кипра для спокойного отдыха - это Ларнака, Пафос и Лимассол. Для ночного отдыха, дискотек и вечеринок для молодежи подойдет курортный город Айя-Напа.

Сравнение пляжей, цен и возможностей для отдыха на Кипр в Ларнаке, Лимассоле, Айя-Напе и Пафосе.

Для поездки на Кипр россиянам можно оформить электронную провизу онлайн https://visasam.ru/oformlenie/evropa/... 

https://visasam.ru - сайт о самостоятельных путешествия и жизни за границей ( реальный опыт ).

https://www.youtube.com/visasam - Youtube канал
https://twitter.com/VisaSam - канал на Яндекс Дзен
https://vk.com/visasam - вКонтакте,
https://www.facebook.com/VisaSamru/ - Facebook

Видео канал, визовый центр и сайт о самостоятельных путешествиях в разные страны, отдыхе и жизни за границей Visasam
Лицензия
Лицензия Creative Commons – Attribution (разрешено повторное использование)",https://www.youtube.com/watch?v=z9O7zIqH3GM,
37,Путешествия,YT,"Куда поехать? Подробный обзор на Цюрих, Швейцария. Жизни в Швейцарии: Цены, Работа, Зарплаты.","Самый подробный обзор на город Цюрих, Швейцария. Недорогие отели в Цюрихе, стоимость еды, отелей, транспорт в Цюрихе, достопримечательности, общее впечатление о городе. (ЧАСТЬ 1). Скоро выйдет вторая часть! Продолжаю свое путешествие по Европе. Куда поехать отдыхать в Цюрихе: старый город. Также в выпусках вы узнаете о жизни в Швейцарии, швейцарских Альпах (а бывают еще и французские Альпы. Поговорим про работу в Швейцарии, как поезать в Европу на машине, инвестициях в образование (ресторанный бизнес и институты Glion и Les Roches. 
На моем втором канале: Smapse Education вы также узнаете про учебу за рубежом, включая учебу в Швейцарии, школы пансионы (частные школы). 

Пройдемся по главным улицам Цюриха, посмотрим старый город, главную шоппинг улицу Bahnhofstrasse. Кстати, она считается самой дорогой и известной торговой улицей в мире! 

Также посмотрим главный вокзал Цюриха (Zürich Hauptbahnhof), швейцарские банки, достопримечательности и оперный театр.

Расскажу про зарплаты в Цюрихе и про минимальную необходимую сумму на день в этом городе, а также поделюсь некоторыми интересными фактами о швейцарцах и Цюрихе.

Смотрите видео до конца, ставьте лайк и делитесь с друзьями! :)

► Мой Instagram с постами из поездок и зарубежном образовании: https://www.instagram.com/smapse_educ...

► Все про учебу за рубежом: http://smapse.ru/

► Учеба в Швейцарии: http://smapse.ru/catalog/obuchenie-v-...

► По вопросам учебы за рубежом и виз: mail@smapse.ru
или http://smapse.ru/contacts/

#егореремеев #smapse #швейцария #кудапоехать #путешествиепоевропе #альпы #цюрих #старыйгород",https://www.youtube.com/watch?v=qi2eBvWAK7I,
38,Путешествия,YT,Центр Цюриха (Швейцария). Стоимость продуктов в супермаркете.,"самые большие часы в Европе;
- старый город;
- супермаркет в Цюрихе.

Снимаем на GoPro Hero 5 Black + Стедикам Feiyu FY-G5

Мы в Facebook: DSebyaa
Мы в Instagram: d_sebya
Мы в Twitter: @d_sebya",https://www.youtube.com/watch?v=jUoZ6PZEskc,
39,Путешествия,YT,ЦЮРИХ ШВЕЙЦАРИЯ. Экскурсия по ЦЮРИХУ или обзор ЦЮРИХА и подробно о ЦЮРИХЕ и ШВЕЙЦАРИИ,ЦЮРИХ ШВЕЙЦАРИЯ. Экскурсия по ЦЮРИХУ или обзор ЦЮРИХА. Что можно за один день увидеть. Подробно о ЦЮРИХЕ и ШВЕЙЦАРИИ 2020. САМЫЕ БОЛЬШИЕ ЧАСЫ и о жизни в Цюрихе и Швейцарии,https://www.youtube.com/watch?v=OY5wkKF03zA,
40,Путешествия,YT,Сколько стоит жизнь в Швейцарии (Расходы в Цюрихе),"Сколько стоит жизнь в Швейцарии (Расходы в Цюрихе)

В этом видео мы поговорим о том, сколько нужно денег в месяц, чтобы ""выжить"" в Швейцарии на примере расходов студента Технического университета Цюриха.

00:00 - Вступление
01:00 - Расходы на жилье
02:32 - Медицинская страховка
02:52 - Общее страхование
03:22 - Затраты на интернет и ТВ, мобильную связь
04:23 - Стоимость газа и электричества, а также транспорта
05:45 - Затраты на питание
06:48 - Бюджет на одежду и прически 
07:36 - Расходы на бытовые нужды
08:44 - Дополнительные расходы 
10:26 - Заключение

Источник информации - https://ethz.ch/en/the-eth-zurich/wor...

Мой Instagram - https://www.instagram.com/olga_the_ex...
Книги, которые я читаю - https://kit.co/olga_the_explorer/grea...",https://www.youtube.com/watch?v=hOTXKg0fYTw,
41,Путешествия,YT,"Женева - Швейцария | «Жизнь других» | ENG | Geneva | Travel Show ""The Life of Others"" | 08.09.2019","Авторское travel-шоу Жанны Бадоевой «Жизнь других»! 
Серия №1 (2 сезон) – о жизни в Женеве!

Authorial Zhanna Badoeva Travel Show ""The Life of Others"" !
Episode 1 Season 2: Life in Geneva, Switzerland!
_____________________________________________________________ 
Таймкод выпуска про Женеву:

02:41 Роды в Женеве
06:29 Детский сад в Женеве
08:10 Общение с брокером
10:30 В гостях у банкира
13:50 Образование в Женеве 
16:53 Общение с безработным в Женеве
19:57 Мастерские по изготовлению часов
23:04 Почему запрещено устанавливать кондиционеры в старых зданиях Женевы?
23:28 В гостях у молодой семьи 
28:20 Супермаркет в Женеве
28:54 Законы Женевы
29:51 Военная служба в Женеве
33:41 Общение с почтальоном о рынке труда в Женеве
37:44 Жизнь пенсионеров в Женеве
_______________________________________________________________
Time-code of Geneva Episode:

02:41 Childbirth in Geneva
06:29 Kindergarten in Geneva
08:10 Communication with a broker
10:30 Visiting a banker
13:50 Education in Geneva
16:53 Communication with the unemployed in Geneva
19:57 Watchmaking workshops
23:04 Why is it forbidden to install air conditioning on the facade of the old buildings of Geneva?
23:28 Visiting a young family
28:20 Supermarket in Geneva
28:54 The laws of Geneva
29:51 Military service in Geneva
33:41 Communication with the postman on the work market in Geneva
37:44 Life of seniors in Geneva
_______________________________________________________________
Поддержка в организации съёмок:
Our filming process was supported by:
Туристическая компания GENEVALIVE: https://www.geneve.com
Авиакомпания SWISS: https://www.swiss.com/ru/ru
Гостиница Beau-Rivage: https://www.beau-rivage.ch
_______________________________________________________________ 
Подписаться на канал: 
Subscribe to our YouTube channel: 
https://www.youtube.com/channel/UCFGe...

Жанна Бадоева в социальных сетях:
Zhanna Badoeva Social Networks:

Instagram: https://www.instagram.com/zhanna_badoeva
Facebook: https://www.facebook.com/zhanna.badoeva
ВКонтакте: https://vk.com/zhanna.badoeva
Одноклассники: https://ok.ru/zhanna.badoeva
Сообщество ВКонтакте: https://vk.com/zhanna.badoeva
Сообщество в Facebook: https://www.facebook.com/BadoevaOffic...


#ЖизньДругих #Geneva #Женева",https://www.youtube.com/watch?v=pmmq7fbYD2E,
42,Кино,RT,💎 Главные кинопремьеры июля 2021 💎,"В этом видео-сборнике собраны русские трейлеры Топ-15 самых ожидаемых и возможно самых лучших фильмов июля 2021 года. Канал ""Smith"" © Лучшие новые трейлеры на русском к фильмам, сериалам, мультфильмам и играм. #1 [00:00] Фильм ""Чёрная Вдова"" | ""Black Widow"" Жанр: фантастика, супергероика | Премьера: 8 июля 2021 | Рейтинг ожиданий: 9.1 #2 [01:54] Фильм ""Время"" | ""Old"" Жанр: триллер | Премьера: 22 июля 2021 | Рейтинг ожиданий: 9.1 #3 [04:21] Фильм ""Круиз по джунглям"" | ""Jungle Cruise"" Жанр: приключения, фэнтези | Премьера: 29 июля 2021 | Рейтинг ожиданий: 8.8 #4 [06:14] Фильм ""Война будущего"" | ""The Tomorrow War"" Жанр: фантастика | Премьера: 2 июля 2021 (мир) | Рейтинг ожиданий: 8.7 #5 [08:43] Фильм ""Космический джем 2: Новое поколение"" | ""Space Jam: A New Legacy"" Жанр: комедия, приключения, мультфильм | Премьера: 15 июля 2021 | Рейтинг ожиданий: 8.6 #6 [11:07] Фильм ""Клаустрофобы 2: Лига выживших"" | ""Escape Room: Tournament of Champions"" Жанр: триллер, фантастика | Премьера: 15 июля 2021 | Рейтинг ожиданий: 8.4 #7 [13:28] Фильм ""G.I. Joe: Бросок кобры. Снейк Айз"" | ""Snake Eyes: G.I. Joe Origins"" Жанр: супергероика, фантастика, боевик | Премьера: 22 июля 2021 | Рейтинг ожиданий: 7.4 #8 [15:24] Фильм ""Пороховой коктейль"" | ""Gunpowder Milkshake"" Жанр: боевик | Премьера: 15 июля 2021 | Рейтинг ожиданий: 7.4 #9 [17:50] Фильм ""Судная ночь навсегда"" | ""The Forever Purge"" Жанр: ужасы, триллер | Премьера: 1 июля 2021 | Рейтинг ожиданий: 7.1 #10 [20:13] Фильм ""Без резких движений"" | ""No Sudden Move"" Жанр: триллер, детектив | Премьера: 1 июля 2021 (мир) | Рейтинг ожиданий: 6.4 #11 [22:32] Фильм ""Красотка на взводе"" | ""Jolt"" Жанр: боевик | Премьера: 29 июля 2021 | Рейтинг ожиданий: 6.2 #12 [24:46] Фильм ""Последний наемник"" | ""The Last Mercenary"" Жанр: боевик, комедия | Премьера: 30 июля 2021 (мир) | Рейтинг ожиданий: 6.0 #13 [26:47] Фильм ""Кроваво-красное небо"" | ""Blood Red Sky"" Жанр: ужасы, триллер | Премьера: 23 июля 2021 (мир) | Рейтинг ожиданий: 5.8 #14 [27:40] Фильм ""Оборотни внутри"" | ""Werewolves Within"" Жанр: ужасы, комедия | Премьера: 1 июля 2021 | Рейтинг ожиданий: 5.3 #15 [30:10] Фильм ""Бегущая в лабиринте"" | ""Meander"" Жанр: ужасы, триллер, фантастика | Премьера: 1 июля 2021 | Рейтинг ожиданий: 5.0 Теперь вы будете в курсе, что интересного посмотреть в июле 2021 года.",https://rutube.ru/video/c303ac8fb574451fb350d6e647d21f97/?ref=search,
43,Кино,RT,"Светлый маг кино: главные роли Владимира Меньшова. «Любовь и голуби», «Ликвидация», «Город зеро»","⭕️Подпишитесь на канал 360: https://www.youtube.com/360tvru?sub_confirmation=1 Кинорежиссёр Владимир Меньшов скончался от последствий ковида в 81 год. Публика знает его благодаря таким культовым картинам, как «Любовь и голуби», «Ликвидация», «Город зеро», «Ширли-Мырли», «Где находится нофелет?» Эпизоды и этих и других фильмов - в нашем материале. #Телеканал360 #владимирменьшов #меньшов #бригадаураган #павелсмирнов Подпишись на нас: ✅Сайт - https://360tv.ru/ ✅Telegram - https://t.me/tv360 ✅Instagram - https://www.instagram.com/mbn360/ ✅TikTok - https://www.tiktok.com/@360tv ✅Rutube - https://rutube.ru/channel/23501555/ ✅VК - https://vk.com/tv360 ✅FB - https://www.facebook.com/tv360/?fref=ts ✅ОК - https://ok.ru/tv360 ✅Twitter - https://twitter.com/360tv ⭕️Присылайте свои видео через приложение «Репортер 360»! Ссылки для скачивания: iOS: https://goo.gl/cBuVLb Android: https://goo.gl/6vSR8G Приложение 360 Android: https://play.google.com/store/apps/details?id=ru.tv360.mobile.android Приложение 360 iOS: http://social.360tv.ru/SPUW",https://rutube.ru/video/e6d670a17e9f546056c365a895866148/?ref=search,
44,Кино,RT,"Все грехи фильма ""Побег из Шоушенка""","► Wall Street English — это онлайн-школа английского языка. ➡ https://bit.ly/3jMbk3b Пройди тест, получи бесплатный VIP урок и скидку 30% на онлайн-курс! ►Новые премьеры на сайте Мегакритик - https://www.megacritic.ru Все грехи фильма ""Побег из Шоушенка"" Следующий выпуск: ""Красавица и чудовище"" Поддержать развитие канала: карта 5203 7380 9370 0895, ЯндексДеньги 410012455665133 Сайт http://kino-mira.ru ВКонтакте https://vk.com/kinomira По вопросам рекламы: kinomiraru@adisom.com Фильм: ""Побег из Шоушенка"". Режиссер: Фрэнк Дарабонт. Продюсер: Лиз Глоцер. Год показа: 10 сентября 1994.",https://rutube.ru/video/4805bd364a8d62a3cd497ca9b6f642cd/?ref=search,
45,Кино,YT,🎬 ТОП ЛУЧШИХ ФИЛЬМОВ ИЮНЯ 2021 | ЧТО ПОСМОТРЕТЬ | КИНОПРЕМЬЕРЫ,"Ищите, что посмотреть? Тогда вы попали точно по адресу! В данном видео мы собрали топ 10 самых лучших фильмов июня 2021 года. Первый месяц лета подарит миру много хороших кинопремьер! Эти фильмы также можно назвать одними из самых ожидаемых. Судя по захватывающим трейлерам, новинки кино явно порадуют вас! Какие новинки проката и кинопремьеры вы ждете больше всего? Ждем ваши комментарии 👇🏻",https://www.youtube.com/watch?v=vnS1OLPGojg,
46,Кино,YT,ТОП 20 ЛУЧШИХ НОВЫХ СЕРИАЛОВ ИЮНЬ 2021 / НОВЫЕ ОЖИДАЕМЫЕ СЕРИАЛЫ 2021,"Я подготовил для вас подборку обзоров на лучшие новые сериалы 2021 года, которые выйдут в июне. Первый месяц лета принесёт любителям многосерийных проектов огромное количество увлекательных новинок, среди которых каждый из вас сможет отыскать что-то по-своему вкусу. Обязательно напишите в коментариях какой из перечисленных сериалов привлек ваше внимание и дополняйте ролик, если я упустил какой-то проект. Приятного просмотра и качественных ТВ-шоу.",https://www.youtube.com/watch?v=adh1fgRlAJA,
47,Кино,YT,"8 НОВЫХ ФИЛЬМОВ 2021 ГОДА, которые УЖЕ ВЫШЛИ в ХОРОШЕМ КАЧЕСТВЕ!","Привет!) Рассказал тебе про топ 8 новых фильмов которые уже вышли в хорошем качестве!) Сочные новинки кино 2021 года! Этот топ даст тебе выбрать что посмотреть вечерком, с друзьями или за бутылкой колый и попкорном!) Тут собраны и все фильмы 2020 и 2021 года которые уже вышли в хорошем качестве, и ты спокойно можешь посмотреть их в интернете.",https://www.youtube.com/watch?v=ETHCDeS6NdE,
48,Кино,YT,18 САМЫХ ОЖИДАЕМЫХ ФИЛЬМОВ 2021 ГОДА! ТОП! ЛУЧШИЕ НОВЫЕ ФИЛЬМЫ. НОВИНКИ КИНО. РУССКИЕ ТРЕЙЛЕРЫ ОБЗОР,► Ссылка на Виолити: https://auction.violity.com/?utm_sour... ► НОВЫЕ ФИЛЬМЫ 2021 https://www.youtube.com/watch?v=Qn4cw... 01:28 B0ЙHА БУДУЩЕГ0 02:14 BЕЧHЫЕ 03:01 СHЕЙК АЙ3 03:47 BЕH0М 2 04:41 ТЕЛ0XPАHИТЕЛЬ ЖЕHЫ КИЛЛЕPА 05:30 ШАH-ЧИ И ЛЕГЕHДА ДЕСЯТИ К0ЛЕЦ 06:18 КЛАУСТP0ФОБЫ 2: ЛИГА BЫЖИBШИX 07:03 B0ИHЫ БУДУЩЕГ0 07:51 ПP0ШЛ0Й H0ЧЬЮ В С0X0 08:35 К0СМИЧЕСКИЙ ДЖЕМ 2 09:29 3АКЛЯТИЕ 3: П0 B0ЛЕ ДЬЯB0ЛА 10:13 ЛЕГЕHДА 0 3ЕЛЕH0М PЫЦАPЕ 11:04 ЛЕДЯH0Й ДPАЙB 11:51 СУДHАЯ H0ЧЬ HАBСЕГДА 12:36 П0P0XОB0Й КОКТЕЙЛЬ 13:27 М0HСТPЫ HА КАHИКУЛАX 4 14:11 К0ДЕКС КИЛЛЕPА 14:59 ТИXИЙ 0МУТ ,https://www.youtube.com/watch?v=b5W0VDoHIDI,
49,Кино,YT,10 главных фильмов июня 2021,"К лету прокат наконец-то обретает стабильность и былой вид. Уже в самом начале месяца вышло сразу два громких блокбастера, а следом за ними идёт ещё парочка. В июне у простых зрителей появляется повод посещать кинотеатры почти еженедельно, да и любителям авторского кино тоже будет что посмотреть – до российского проката доберётся последний фильм из шорт-листа «Оскара» и очень странное кино от культового режиссёра.",https://www.youtube.com/watch?v=el0L-uIQ3f4,
